Ch,yyyy,mm,dd,hh,mm,ss,Power,Power off,Status,Thermocouple,Temp C
B, 2020, 08, 29,0,00,00.211,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,00.612,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,01.014,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,01.415,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,01.817,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,02.218,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,02.620,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,03.021,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,03.423,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,03.824,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,04.226,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,04.627,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,05.029,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,05.430,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,05.832,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,06.233,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,06.635,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,07.036,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,07.437,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,07.839,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,08.240,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,08.642,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,09.043,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,09.445,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,09.846,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,10.248,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,10.649,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,10.999,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,10.999,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,11.244,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,11.645,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,11.999,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,11.999,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,11.999,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,13.069,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,13.471,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,14.334,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,15.036,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,15.437,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,15.838,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,16.240,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,16.641,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,17.043,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,17.444,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,17.846,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,18.247,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,18.649,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,19.050,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,19.452,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,19.853,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,20.254,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,20.656,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,21.058,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,21.459,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,21.861,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,22.162,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,22.564,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,22.965,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,23.366,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,23.768,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,24.169,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,24.571,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,24.972,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,25.374,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,25.775,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,26.177,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,26.578,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,26.980,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,27.381,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,27.783,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,28.184,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,28.585,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,28.987,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,29.389,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,29.790,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,30.192,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,30.593,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,30.995,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,31.396,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,31.798,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,32.199,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,32.600,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,33.002,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,33.403,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,33.805,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,34.206,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,34.608,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,35.009,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,35.411,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,35.812,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,36.214,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,36.615,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,37.016,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,37.418,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,37.820,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,38.221,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,38.623,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,39.024,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,39.426,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,39.827,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,40.229,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,40.630,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,41.031,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,41.433,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,41.834,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,42.236,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,42.637,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,43.039,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,43.440,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,43.842,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,44.143,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,44.545,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,44.946,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,45.348,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,45.749,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,46.151,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,46.552,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,46.954,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,47.355,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,47.757,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,48.158,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,48.560,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,48.961,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,49.362,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,49.764,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,50.166,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,50.567,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,50.968,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,51.370,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,51.771,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,52.173,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,52.574,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,52.976,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,53.377,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,53.779,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,54.180,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,54.582,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,54.983,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,55.385,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,55.786,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,56.188,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,56.589,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,00,56.991,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,57.392,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,57.794,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,58.195,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,58.597,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,58.998,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,59.400,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,00,59.801,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,00.203,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,00.604,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,01.006,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,01.407,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,01.809,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,02.210,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,02.612,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,03.013,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,03.414,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,03.816,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,04.218,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,04.619,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,05.020,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,05.422,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,05.824,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,06.225,TX-60, OK, Manual, Normal, R, 75.8
B, 2020, 08, 29,0,01,06.627,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,06.999,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,07.330,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,07.731,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,08.133,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,08.534,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,08.935,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,09.337,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,09.738,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,10.140,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,10.541,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,10.943,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,11.344,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,11.746,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,12.147,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,12.549,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,12.950,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,13.352,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,13.753,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,14.155,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,14.556,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,14.958,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,14.999,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,15.051,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,16.151,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,16.553,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,16.954,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,17.326,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,17.728,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,18.130,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,18.531,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,18.932,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,19.334,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,19.735,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,20.137,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,20.539,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,20.940,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,21.341,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,21.743,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,22.144,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,22.546,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,22.947,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,23.349,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,23.750,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,24.152,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,24.553,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,24.955,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,25.356,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,25.758,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,26.159,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,26.561,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,26.962,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,27.363,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,27.765,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,28.167,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,28.568,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,28.970,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,29.371,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,29.772,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,30.174,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,30.575,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,30.977,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,31.378,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,31.780,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,32.181,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,32.583,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,32.984,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,33.386,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,33.787,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,34.189,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,34.590,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,34.992,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,35.393,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,35.795,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,36.196,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,36.598,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,36.999,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,37.401,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,37.802,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,38.204,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,38.605,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,38.999,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,39.308,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,39.709,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,40.111,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,40.513,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,40.914,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,41.315,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,41.717,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,42.118,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,42.520,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,42.922,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,43.323,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,43.724,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,44.126,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,44.527,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,44.929,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,45.330,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,45.732,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,46.133,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,46.535,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,46.936,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,47.338,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,47.739,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,48.141,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,48.542,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,48.944,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,49.345,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,49.746,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,50.148,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,50.550,TX-60, OK, Manual, Normal, R, 76.6
B, 2020, 08, 29,0,01,50.951,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,51.353,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,51.754,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,52.155,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,52.557,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,52.959,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,53.360,TX-60, OK, Manual, Normal, R, 76.4
